artist_id,email_1st_click_campaign_name,nb_sales,total_bv
1546,SEO_NON_BRAND_TPL_GALLERY_CITY,2,6095.60664
62402,ADWORDS_SCULPTURES,2,6090.740433
2539,ADWORDS_GENERAL,2,6075
3141,ADWORDS_GALLERIES_CITIES_LP,2,6044.481648
4545,INTERNAL_CAMPAIGN_DIRECT_ACCESS,3,6023
36504,FACEBOOK_CONVERSION LOOKALIKE CUSTOMERS,3,6020.976328
36519,ADWORDS_GALLERIES_CITIES,2,6018
34428,INTERNAL_CAMPAIGN_DIRECT_ACCESS,1,6000
22731,ADWORDS_GENERAL_EXPLORATION,1,5995
7135,ADWORDS_GALLERIES_CITIES_LP,3,5956.25
36840,SEO_NON_BRAND_TPL_GALLERY_CITY,1,5951.74328
259,ADWORDS_GENERAL,2,5950.692596
4777,FACEBOOK_CONVERSION LOOKALIKE CUSTOMERS_WITH_VALUES 1%,1,5949
13359,INTERNAL_CAMPAIGN_FACEBOOK,1,5850
10801,ADWORDS_GENERAL_BROAD,4,5817.61
59398,INTERNAL_CAMPAIGN_SEA_BRAND,1,5789.832
34126,ADWORDS_GENERAL_BROAD,1,5780.136432
13941,ADWORDS_GENERAL,6,5723.535327
17149,INTERNAL_CAMPAIGN_DIRECT_ACCESS,2,5720.825
20941,INTERNAL_CAMPAIGN_DIRECT_ACCESS,2,5720.625931
4705,BING_GENERAL,2,5715.50048
36188,ADWORDS_GALLERIES_CITIES,6,5714.008561
36504,BING_MEDIUM,1,5704.34375
2217,INTERNAL_CAMPAIGN_DIRECT_ACCESS,1,5690.98
59,DISPLAY_ADWORDS_SIMILAR_CUSTOMEREMAIL,1,5676.969298
1581,TEMPLATE ARTIST,2,5670
9831,ADWORDS_GENERAL,3,5668.23353
30165,ADWORDS_GENERAL,4,5660.7976
13991,ADWORDS_GENERAL,1,5644.59503
8157,INTERNAL_CAMPAIGN_DIRECT_ACCESS,3,5634.5982
36491,TEMPLATE ARTISTS,4,5625
4049,ADWORDS_GENERAL,8,5608.4375
27473,DISPLAY_ADWORDS_PL_HOME_DECO,3,5604.576971
37327,ADWORDS_GENERAL,1,5594.239765
34500,TEMPLATE ARTIST,2,5591.885824
32653,ADWORDS_GALLERIES_CITIES,2,5574.11235
26977,DISPLAY_ADWORDS_CUSTOM_INTENT_LUXURY_ESTATE,3,5560
14821,INTERNAL_CAMPAIGN_SEA_BRAND,1,5544
259,ADWORDS_ARTISTS,2,5541.02
