artist_id,artist,artwork_id,categories,styles,medium,orientation
3969,Marcos Zrihen,1803520,"fantasy,landscape,marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,1803526,"fantasy,landscape,nature",minimalism,painting,portait
3969,Marcos Zrihen,1807642,"fantasy,landscape,marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,1807648,"fantasy,landscape,marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,1812452,"fantasy,fashion,landscape,nature","figurative,minimalism",painting,portait
3969,Marcos Zrihen,1816256,"fantasy,landscape,nature",minimalism,painting,portait
3969,Marcos Zrihen,652379,"fantasy,landscape,nature",minimalism,painting,portait
3969,Marcos Zrihen,652401,"fantasy,landscape,nature",minimalism,painting,portait
3969,Marcos Zrihen,652417,"fantasy,landscape,nature",minimalism,painting,portait
3969,Marcos Zrihen,658151,"fantasy,landscape,nature",minimalism,painting,portait
3969,Marcos Zrihen,658157,"fantasy,marine",minimalism,painting,landscape
3969,Marcos Zrihen,658169,"fantasy,landscape,nature",minimalism,painting,portait
3969,Marcos Zrihen,692899,"landscape,marine,nature",minimalism,painting,landscape
3969,Marcos Zrihen,911505,marine,minimalism,painting,portait
3969,Marcos Zrihen,718097,"fantasy,landscape,nature",minimalism,painting,landscape
3969,Marcos Zrihen,903489,"conceptual,marine",minimalism,painting,portait
3969,Marcos Zrihen,718131,"fantasy,landscape,nature",minimalism,painting,landscape
3969,Marcos Zrihen,1822290,"fantasy,landscape,nature","aboriginal_art,minimalism",painting,portait
3969,Marcos Zrihen,1316837,"fantasy,marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,865845,nature,impressionism,painting,landscape
3969,Marcos Zrihen,865797,fantasy,minimalism,painting,portait
3969,Marcos Zrihen,865785,marine,minimalism,painting,portait
3969,Marcos Zrihen,865775,"fantasy,nature","aboriginal_art,minimalism,primitivism",painting,landscape
3969,Marcos Zrihen,1326433,"fantasy,nature",minimalism,painting,portait
3969,Marcos Zrihen,1326439,"fantasy,nature",minimalism,painting,portait
3969,Marcos Zrihen,1337403,"fantasy,nature",minimalism,painting,landscape
3969,Marcos Zrihen,1442973,"fantasy,landscape,nature",minimalism,painting,portait
3969,Marcos Zrihen,1337423,"fantasy,nature",minimalism,painting,portait
3969,Marcos Zrihen,1838816,"fantasy,landscape,nature",minimalism,painting,portait
3969,Marcos Zrihen,1434451,"fantasy,nature",minimalism,painting,portait
3969,Marcos Zrihen,1434451,"fantasy,nature",minimalism,painting,portait
3969,Marcos Zrihen,1844760,"fantasy,landscape,nature",minimalism,painting,landscape
3969,Marcos Zrihen,1428037,"fantasy,nature","figurative,minimalism",painting,landscape
3969,Marcos Zrihen,1851270,"fantasy,landscape,marine,nature",minimalism,painting,landscape
3969,Marcos Zrihen,2303584,"fantasy,landscape,marine,nature",minimalism,painting,landscape
3969,Marcos Zrihen,2303587,"fantasy,landscape,marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,2303599,"fantasy,landscape,nature",minimalism,painting,portait
3969,Marcos Zrihen,1084391,"fantasy,historical_political,nature","figurative,minimalism",painting,landscape
3969,Marcos Zrihen,1921965,fantasy,minimalism,painting,portait
3969,Marcos Zrihen,1547071,"conceptual,fantasy",pop_art,painting,landscape
3969,Marcos Zrihen,288613,marine,minimalism,painting,portait
3969,Marcos Zrihen,406991,conceptual,other,painting,portait
3969,Marcos Zrihen,402149,"conceptual,nature",minimalism,painting,portait
3969,Marcos Zrihen,402129,"conceptual,marine",minimalism,painting,portait
3969,Marcos Zrihen,288627,marine,minimalism,painting,portait
3969,Marcos Zrihen,288631,"landscape,nature",minimalism,painting,portait
3969,Marcos Zrihen,288635,"marine,nature",minimalism,painting,landscape
3969,Marcos Zrihen,369297,nature,"figurative,minimalism",painting,portait
3969,Marcos Zrihen,288641,"fantasy,pop_culture",minimalism,painting,landscape
3969,Marcos Zrihen,288645,nature,"realism,semi_abstract",painting,landscape
3969,Marcos Zrihen,358987,genre_painting,oriental_art,painting,portait
3969,Marcos Zrihen,358209,genre_painting,oriental_art,painting,portait
3969,Marcos Zrihen,358199,genre_painting,oriental_art,painting,portait
3969,Marcos Zrihen,358181,genre_painting,oriental_art,painting,portait
3969,Marcos Zrihen,358177,genre_painting,oriental_art,painting,portait
3969,Marcos Zrihen,358167,genre_painting,oriental_art,painting,portait
3969,Marcos Zrihen,358113,genre_painting,oriental_art,painting,portait
3969,Marcos Zrihen,288649,"fantasy,marine",minimalism,painting,landscape
3969,Marcos Zrihen,288649,"fantasy,marine",minimalism,painting,landscape
3969,Marcos Zrihen,288653,marine,"expressionism,realism",painting,landscape
3969,Marcos Zrihen,288655,"fantasy,nature",minimalism,painting,landscape
3969,Marcos Zrihen,288655,"fantasy,nature",minimalism,painting,landscape
3969,Marcos Zrihen,288659,"fantasy,marine",minimalism,painting,portait
3969,Marcos Zrihen,309509,"marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,309725,"conceptual,marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,309741,"conceptual,nature",minimalism,painting,landscape
3969,Marcos Zrihen,2342706,"fantasy,landscape,marine,nature",minimalism,painting,landscape
3969,Marcos Zrihen,1915047,"fantasy,landscape,marine,nature",minimalism,painting,portait
