artist_id,artist_name,artist_type,nb_sessions_artist_page,nb_sessions_artwork_page,nb_sessions_total,nb_entry_sessions_artist_campaign,nb_entry_sessions_artwork_campaign,nb_entry_sessions_total,artist_total_bv,artist_entry_bv_same_artist,artist_entry_bv_other_artist,artwork_entry_bv_same_artist,artwork_entry_bv_other_artist,1stClick BV,pull_ratio_artist,pull_ratio_artwork,pull_ratio,pct_first_click_bv_same_artist,1st_click_BV_per_First_click_session
19749,Atom Hovhanesyan,Singulart Artist,13738,75760,89498,2583,1534,4117,231606.7254,0,0,0,0,0,18.80%,2.03%,4.60%,0.00%,€0.00
3969,Marcos Zrihen,Singulart Artist,36695,251153,287848,5584,5138,10722,229531.4518,11600.0821,2491.640908,3831.44968,300,"18,223",15.22%,2.05%,3.73%,6.72%,€1.70
9049,Vé Boisvert,Singulart Artist,21354,56557,77911,5468,1019,6487,229528.6704,10836.54914,1264.2915,4305.08525,0,"16,406",25.61%,1.80%,8.33%,6.60%,€2.50
4953,Emil Aziz,Singulart Artist,44799,150941,195740,7016,3691,10707,223823.4366,26516.74194,0,0,0,"26,517",15.66%,2.45%,5.47%,11.85%,€2.50
1221,Casey McKee,Singulart Artist,38115,61539,99654,4208,1119,5327,222839.1615,6775.933,2595,0,0,"9,371",11.04%,1.82%,5.35%,3.04%,€1.80
4807,Tatiana Yabloed,Singulart Artist,36867,195054,231921,6341,5779,12120,222380.881,15906.83274,0,12485.97087,0,"28,393",17.20%,2.96%,5.23%,12.77%,€2.30
7079,Yossi Kotler,Singulart Artist,43397,225827,269224,14816,6004,20820,222178.487,0,2800,2460,5879.99,"11,140",34.14%,2.66%,7.73%,1.11%,€0.50
26567,Trong Thuong Tran,Singulart Artist,21220,151509,172729,3008,3072,6080,219753.1064,13251.22923,2100,0,1200,"16,551",14.18%,2.03%,3.52%,6.03%,€2.70
4273,Vadim Dolgov,Singulart Artist,20484,97447,117931,4460,2340,6800,215717.8579,19122.3388,4489.87,2523.79096,0,"26,136",21.77%,2.40%,5.77%,10.03%,€3.80
2627,Carlos Martin,Singulart Artist,98197,210427,308624,40825,5743,46568,211495.9456,22961.23809,2202.05,950,0,"26,113",41.58%,2.73%,15.09%,11.31%,€0.60
272,Nestor Toro,Singulart Artist,46038,372290,418328,8378,9064,17442,211230.0677,13289.68828,675,8932.61364,0,"22,897",18.20%,2.44%,4.17%,10.52%,€1.30
3141,Peter Vahlefeld,Singulart Artist,35318,148983,184301,7177,3476,10653,211065.7368,3229.9335,0,0,0,"3,230",20.32%,2.33%,5.78%,1.53%,€0.30
15601,Martina Hamrik,Singulart Artist,19995,41659,61654,7371,1226,8597,210262.2855,23575.42136,0,9268.08714,0,"32,844",36.86%,2.94%,13.94%,15.62%,€3.80
5023,Federico Pinto Schmid,Singulart Artist,26585,128831,155416,6048,3043,9091,208609.1339,0,0,0,0,0,22.75%,2.36%,5.85%,0.00%,€0.00
14105,Bozhena Fuchs,Singulart Artist,25344,131594,156938,9147,6205,15352,207785.0086,5729.71455,1200,5911.0155,1455.38,"14,296",36.09%,4.72%,9.78%,5.60%,€0.90
10801,Eugen Dick,Singulart Artist,17778,55873,73651,5520,1872,7392,204229.6189,12922.6464,1200,3430,0,"17,553",31.05%,3.35%,10.04%,8.01%,€2.40
5377,Edelgard Schroer,Singulart Artist,28653,189692,218345,4102,3857,7959,200384.1181,9786.05236,0,4019.93775,0,"13,806",14.32%,2.03%,3.65%,6.89%,€1.70
1717,Oleksii Gnievyshev,Singulart Artist,35893,134631,170524,5238,6567,11805,197991.4626,0,0,0,4123,"4,123",14.59%,4.88%,6.92%,0.00%,€0.30
12805,Ludovic Mercher,Singulart Artist,17303,41329,58632,2355,525,2880,197672.8127,2797.8645,0,0,0,"2,798",13.61%,1.27%,4.91%,1.42%,€1.00
18369,Axelle Bosler,Singulart Artist,49738,315432,365170,5938,7937,13875,197356.0322,10185.24246,2633.653194,0,0,"12,819",11.94%,2.52%,3.80%,5.16%,€0.90
6865,Holger Mühlbauer-Gardemin,Singulart Artist,36432,390555,426987,4707,16772,21479,196687.8471,41603.86442,6448.631578,9103.42,0,"57,156",12.92%,4.29%,5.03%,25.78%,€2.70
4485,Marie-Thérèse Tsalapatanis,Singulart Artist,7929,38176,46105,972,1742,2714,193992.7954,0,0,0,0,0,12.26%,4.56%,5.89%,0.00%,€0.00
168,François Pagé,Singulart Artist,45469,418087,463556,7096,9887,16983,193040.1916,5270.2364,0,7450.396333,0,"12,721",15.61%,2.37%,3.66%,6.59%,€0.70
1272,Laurent Dorchin,Singulart Artist,62233,110182,172415,8972,2031,11003,191113.5082,9555.213581,0,2946.36365,0,"12,502",14.42%,1.84%,6.38%,6.54%,€1.10
1546,Katherine Evans,Singulart Artist,18797,67531,86328,4085,1286,5371,190727.6061,3168,0,3713.864,0,"6,882",21.73%,1.90%,6.22%,3.61%,€1.30
6011,Ivan Didovodiuk,Singulart Artist,28088,165440,193528,3599,2501,6100,189159.8528,6577.587456,341.5164,3573.269784,0,"10,492",12.81%,1.51%,3.15%,5.37%,€1.70
7701,Tadaomi Kawasaki,Singulart Artist,20630,76495,97125,5407,2997,8404,188883.5527,12320.54606,2619.50925,0,0,"14,940",26.21%,3.92%,8.65%,6.52%,€1.80
2095,Gabriela Lavezzari,Singulart Artist,19952,77356,97308,3456,1837,5293,188140.7054,13689.95025,2579.28,0,0,"16,269",17.32%,2.38%,5.44%,7.28%,€3.10
26417,Kenneth Halvorsen,Singulart Artist,9483,67341,76824,1529,1357,2886,186440.0608,0,0,0,0,0,16.12%,2.02%,3.76%,0.00%,€0.00
6305,Dimitri Likissas,Singulart Artist,50893,155127,206020,6391,5806,12197,186123.7073,26640,0,4910,0,"31,550",12.56%,3.74%,5.92%,16.95%,€2.60
731,Patrick Cornée,Singulart Artist,38974,148955,187929,6377,9981,16358,183175.0132,8057.383381,2485.31108,6390.856,0,"16,934",16.36%,6.70%,8.70%,7.89%,€1.00
19381,Mikhail Baranovskiy,Singulart Artist,24147,105312,129459,3443,3005,6448,178172.7226,9854.939463,0,1700,0,"11,555",14.26%,2.85%,4.98%,6.49%,€1.80
3657,Kunstatelier Sonja Blaess GmbH,Singulart Artist,20997,100836,121833,3273,1259,4532,178001.6829,3128.7912,4300.14972,15131.37546,0,"22,560",15.59%,1.25%,3.72%,10.26%,€5.00
6047,Anna Sidi-Yacoub,Singulart Artist,12503,69717,82220,3112,1960,5072,176585.4838,16411.59381,850,600,0,"17,862",24.89%,2.81%,6.17%,9.63%,€3.50
36514,Banksy,Grand Artist,99133,137067,236200,22345,6105,28450,175947.6038,9788,0,1640,0,"11,428",22.54%,4.45%,12.05%,6.50%,€0.40
5801,Tomoya Nakano,Singulart Artist,26460,255059,281519,4090,8043,12133,173501.6088,4185.53734,0,5492.60155,0,"9,678",15.46%,3.15%,4.31%,5.58%,€0.80
12207,Juan José Garay,Singulart Artist,21589,153833,175422,4316,4675,8991,172659.3159,0,0,0,0,0,19.99%,3.04%,5.13%,0.00%,€0.00
2303,Sophie Duplain,Singulart Artist,26052,165138,191190,5238,4118,9356,172432.8392,7417,1134,1357.00621,0,"9,908",20.11%,2.49%,4.89%,5.09%,€1.10
8627,Ekaterina Ermilkina,Singulart Artist,19478,65742,85220,7854,1695,9549,170545.6222,0,6134,1720.8298,0,"7,855",40.32%,2.58%,11.21%,1.01%,€0.80
242,Karoline Kroiß,Singulart Artist,24615,131460,156075,5075,3689,8764,169598.2041,19315.3042,680,0,0,"19,995",20.62%,2.81%,5.62%,11.39%,€2.30
3149,Eric Bruni,Singulart Artist,45744,250406,296150,9272,7505,16777,168439.7742,12196.74634,0,690,0,"12,887",20.27%,3.00%,5.67%,7.65%,€0.80
